KPI,Resultado,Evento de conversión,Guía de interpretación
Conversiones rápidas anómalas,33.33333333333333,purchase_GA4,"  Significado: Porcentaje de conversiones que ocurren muy rápidamente (pocos pasos).
  Interpretación: Puede indicar usuarios muy decididos, pero también posibles fraudes o errores en el tracking. Si el resultado es 15.0, significa que el 15% de las conversiones ocurren en menos de 2 pasos, lo que puede indicar usuarios que ya sabían qué querían comprar, pero también posibles actividades fraudulentas o errores en el sistema de tracking."
Rutas circulares,20.0,,"  Significado: Porcentaje de rutas que terminan en el mismo evento donde empezaron.
  Interpretación: Puede indicar confusión del usuario o problemas de navegación. Si el resultado es 10.0, significa que el 10% de las rutas terminan donde empezaron, lo que puede indicar usuarios que se perdieron en la navegación o problemas en la interfaz que hacen que los usuarios vuelvan al punto de partida."
Excesiva repetición de eventos,0.0,,"  Significado: Porcentaje de rutas donde un evento se repite más de lo normal.
  Interpretación: Puede indicar problemas técnicos, confusión del usuario o errores en la interfaz. Si el resultado es 5.0, significa que el 5% de las rutas tienen eventos que se repiten más de 3 veces, lo que puede indicar problemas técnicos (como botones que no responden) o usuarios confundidos que repiten acciones sin éxito."
Abandono después de evento clave,60.0,,"  Significado: Porcentaje de usuarios que abandonan después de un evento específico (ej: begin_checkout).
  Interpretación: Identifica puntos críticos donde los usuarios se van, indicando posibles problemas en esos pasos. Si el resultado es 40.0, significa que el 40% de los usuarios que llegan a ""begin_checkout"" abandonan después, lo que indica un problema crítico en el proceso de checkout que necesita atención inmediata.
# Notas
- Si un KPI da 0 o un valor inesperado, revisa si tus datos realmente contienen casos que cumplan la condición.
- Verifica que el mapping y los parámetros (por ejemplo, evento_conversion, step, etc.) sean correctos y coincidan con los valores reales de tus datos.
- Usa los prints de depuración para ver qué columnas y valores está usando el script. "
Usuarios con más de X eventos antes de la conversión,"(0, set())",purchase_GA4,"  Significado: Número de usuarios que realizaron más de X eventos antes de llegar a la conversión (por ejemplo, antes de ""purchase"").
  Interpretación: Si el resultado es (2, {'user1', 'user3'}), significa que 2 usuarios (user1 y user3) hicieron más de X eventos antes de convertir."
Sesiones con múltiples conversiones,2,purchase_GA4,"  Significado: Número de sesiones donde el evento de conversión ocurre más de una vez.
  Interpretación: Si el resultado es 1, solo una sesión tuvo más de una conversión."
Rutas con múltiples conversiones,2,purchase_GA4,"  Significado: Número de rutas (secuencias de eventos) donde el evento de conversión ocurre dos o más veces.
  Interpretación: Si el resultado es 1, solo una ruta tiene múltiples conversiones."
Número de pasos medio hasta la primera conversión,1.6666666666666667,purchase_GA4,"  Significado: Promedio de pasos que realiza un usuario desde el primer evento hasta la primera conversión.
  Interpretación: Si el resultado es 4.0, en promedio los usuarios hacen 4 eventos antes de convertir por primera vez."
Número de pasos medio entre conversiones sucesivas,0.0,purchase_GA4,"  Significado: Promedio de pasos entre una conversión y la siguiente, para usuarios con múltiples conversiones.
  Interpretación: Si el resultado es 2.5, en promedio hay 2-3 eventos entre conversiones sucesivas."
Rutas más populares por usuarios únicos,"1.  1 session_start - 1 first_visit - 1 begin_checkou... (1 usuarios únicos, 50.0%)
2. first_visit - 3 purchase_GA4 - 1 begin_checkout@ -... (1 usuarios únicos, 50.0%)
3. start_checkout - 1 begin_checkout@ - 1 purchase_GA... (1 usuarios únicos, 50.0%)",,
Distribución de usuarios por ruta,"Distribución de usuarios por ruta:
    - Media: 1.00 usuarios
    - Mediana: 1.00 usuarios
    - Máximo: 1 usuarios
    - Mínimo: 1 usuarios
    - Desviación estándar: 0.00 usuarios",,
Rutas con alta concentración de usuarios,"Rutas que concentran más del 10% de usuarios (0 usuarios):
-  1 session_start - 1 first_visit - 1 begin_checkou... (1 usuarios, 50.0%)
- first_visit - 3 purchase_GA4 - 1 begin_checkout@ -... (1 usuarios, 50.0%)
- start_checkout - 1 begin_checkout@ - 1 purchase_GA... (1 usuarios, 50.0%)",,
Diversidad de rutas,"Diversidad de rutas:
    - Total de rutas únicas: 3
    - Total de usuarios únicos: 2
    - Promedio de usuarios por ruta: 1.00
    - Coeficiente de Gini (desigualdad): 0.000
    - Ruta con más usuarios: 1 usuarios
    - Ruta con menos usuarios: 1 usuarios",,
